post_id,author,created_at,likes,reposts,text
at://did:plc:iq3nsiwplhvly4ghdfxt3uxo/app.bsky.feed.post/3mulr7cgjp223,user_075,2026-09-03 05:54:54.948000+00:00,4,0,"Another Fall Drink PSA since I was checking my emails…🍁

Pumpkin spice drinks are back in season at 85 Degree Bakery! 🎃

(Including their punpkin matcha oat latte!) 💚"
at://did:plc:72etj4peb3yxaen4e5knyhiu/app.bsky.feed.post/3mulxrpjk6c24,user_090,2026-09-03 07:52:35.109000+00:00,0,0,"Pumpkin spice latte and a huge pain au chocolat is helping, temporarily."
at://did:plc:gyzujxsgjoljtcsvro6a2mot/app.bsky.feed.post/3mum2h34iks2j,user_017,2026-09-03 08:40:19.388000+00:00,1,0,"My first pumpkin spice latte of the season.

I wonder how many I’ll get though between now and Thanksgiving.

Maybe I should count them this year and post each one here.

After all, isn’t this the sort of high quality content we’ve come to expect from BlueSky?

#pumpkinspicecount #pumpkinspice"
at://did:plc:rwrdvz5t5grdasatnzk7xiqe/app.bsky.feed.post/3mum33vabzs2m,user_047,2026-09-03 08:51:57.839000+00:00,0,0,"Pumpkin spice latte season is nearly here… & so is your sign to get those hair extensions. 🎃☕️✨

Longer, fuller, autumn-ready hair? Yes please. 🤎🍂

Because if we’re ordering the PSL, we might as well have the hair to match. 🧡

#PumpkinSpiceSeason #HairExtensions #AutumnHair #HairGoals #PSLSeason"
at://did:plc:6uqzbzupxtyj32ysp7ijipzc/app.bsky.feed.post/3mum7cxxhr226,user_079,2026-09-03 10:07:30.571000+00:00,0,0,"AUTUMN DIRNKS HAVE ARRIVED!
Indulge in the taste of Autumn at The Packing House Café and try one of our new Autumn drinks!
Pumpkin Spice Latte, White Chocolate Mocha, Honeycomb Hot Chocolate, Toasted Marshmallow Hot Chocolate and a selection of Seasonal Teas
Which will you choose?
#stokeontrent"
at://did:plc:cbxylfk6ouu6nv74iapzu6bu/app.bsky.feed.post/3mumhwz65ss2q,user_069,2026-09-03 12:41:52.859000+00:00,0,0,"The ‘ber months are here, which means it’s time for pumpkin spice season at Starbucks with these new drinks available at locations before and after security:

🎃 Pumpkin Spice Frappuccino
🧊 Iced Pumpkin Spice Latte
🍁 Maple Pecan Macchiato
🍏 Iced Apple Crumble Matcha Latte"
at://did:plc:5btucakevkyit3mwglcxvlhz/app.bsky.feed.post/3mumiw3bydc2m,user_071,2026-09-03 12:59:15.272000+00:00,4,0,"It’s September 3rd, and I’m having my first Pumpkin Spice Latte of the year. 

Happy early fall season, folks!"
at://did:plc:zov77gn5u35rm54iiygegqlf/app.bsky.feed.post/3mumiypmoq22b,user_052,2026-09-03 13:00:43.699000+00:00,19,0,I wish I had a Pumpkin Spice Latte to start my day 😭
at://did:plc:yxai2tspxc5f3dduoh7j33tm/app.bsky.feed.post/3mumjc2epms2u,user_150,2026-09-03 13:05:56.967000+00:00,1,0,"Idk when ""PSL"" for Pumpkin Spice Latte became a thing but I always think Party for Socialism and Liberation before I do a latte"
at://did:plc:nmfi4av3jr2zejhgeg7hu2v3/app.bsky.feed.post/3mumjqqrpw22v,user_103,2026-09-03 13:14:10.199000+00:00,10,0,"My first PSL of the year as tradition dictates on Thursday of #dragoncon.  I am listening to High Gloom, the next book in the Bad Guys series  for me.  #psl #pumpkinspicelatte #starbucks #booksky 📚💙 🎧📚  ☕️ #litrpg 🪐📚"
at://did:plc:5goslz5l3ggwpoxqtneh5fjc/app.bsky.feed.post/3mumlhwl7p22n,user_036,2026-09-03 13:45:01.797000+00:00,3,0,I am such a sucker for this kind of lighting. Does that make me basic? I don't care. I'm going to drink my pumpkin spice latte and admire the lighting.
at://did:plc:k7j4imxwsbuq4h2rjclyegjc/app.bsky.feed.post/3mumns7qlgc2g,user_044,2026-09-03 14:26:34.437000+00:00,8,0,the fuji apple/ginger red bull is my pumpkin spice latte tbh
at://did:plc:376k4gtq53sdrj4ehzrktklp/app.bsky.feed.post/3mumsycxtg22m,user_068,2026-09-03 15:59:27.856000+00:00,1,0,"I made my own pumpkin spice creamer last week, and honestly? It was better than Starbucks. I unabashedly love pumpkin spice flavored stuff; there's a reason my roller derby name is ""Punchin' Spice Latte""."
at://did:plc:iiz3vwuilctkmmzxdrimuxvy/app.bsky.feed.post/3mun2c3knic2u,user_040,2026-09-03 18:10:11.820000+00:00,0,0,Pumpkin spice latte season brings out Dennis Miller-level attempts at humor in people who weren't funny to begin with. 💤
at://did:plc:5o32zxysemtpkq46wynxr4dp/app.bsky.feed.post/3mun3dbtnu22g,user_115,2026-09-03 18:28:45.705000+00:00,25,0,"anyway, GOOD MORNING
i love being basic ﹠ getting a pumpkin spice latte before work ♡ 🍂"
at://did:plc:kpcxe2f2g7ylnj46d7kygfih/app.bsky.feed.post/3mun4rkwfos2m,user_083,2026-09-03 18:54:38.728000+00:00,8,0,"It’s September, so the autumn wreaths and pumpkins are coming out. 🍂🎃 Add cozy slippers, a pumpkin spice latte and a candle or two, and I’m in my happy place. ☕️🍁"
at://did:plc:t2t3ndlvicozvov7emnsjqv7/app.bsky.feed.post/3muncosi7dk25,user_108,2026-09-03 20:40:28.443000+00:00,4,2,"Made a pumpkin spice tea latte with some black tea, coconut milk and pumpkin I had left from a vegan pumpkin bread recipe, spices, and sugar. Yum!
(found this GIF here, but checked for artist, which I think is here: lizaisalazycat.tumblr.com)"
at://did:plc:e6fsal34o37y2w2th3ujhcd2/app.bsky.feed.post/3munexx3xdc2w,user_065,2026-09-03 21:21:22.665000+00:00,3,0,first pumpkin spice latte of the season 🤭🎃 #starbucks
at://did:plc:7rntykj52r5mu4wuisymwiu2/app.bsky.feed.post/3munio6vdt22g,user_080,2026-09-03 22:27:30.347000+00:00,4,0,@user going off about kick returns? Well pass me a pumpkin spice latte it is football season.
at://did:plc:mqdmrmimninui2n6dqzufjwk/app.bsky.feed.post/3munm3izcwc2m,user_138,2026-09-03 23:28:38.402000+00:00,9,0,"You know what? I’m not holding back anymore!

I am a MAN and I will NOT apologize!

I will drink my PUMPKIN SPICE LATTE and read my SLOW BURN COZY FANTASY ROMANCE NOVEL BY SARAH BETH DURST with a SCENTED CANDLE and a COZY 5XL MICROFLEECE HOODIE"
at://did:plc:rw46cd44sp3322d5jmvhan56/app.bsky.feed.post/3munrqiqem22a,user_085,2026-09-04 01:09:51.463000+00:00,15,5,"sketch. POV: you got her a pumpkin spice..""oh. thanks. you didn't have to do that."""
at://did:plc:voi6z5fwxxhlfhxuz2ap7g2m/app.bsky.feed.post/3munwmypxcs2e,user_078,2026-09-04 02:37:22.716000+00:00,4,0,"Seeing summer off at Alki Beach with my annual Pumpkin Spice Latte from my favorite beach coffee shop in Seattle, Ampersand Cafe on Alki. And the very first Pumpkin Spice Latte brewed by Ampersand this season. Delish! 😋🎃🧋⛱️"
at://did:plc:qzwldioo4afr255pdz4fvh6x/app.bsky.feed.post/3muojno3ug22z,user_026,2026-09-04 08:17:46.219000+00:00,11,0,"Good morning, besties ☁️ first pumpkin spice latte of the season 🎃☕️✨️

Wishing you all an amazing Friday 🍂"
at://did:plc:ivi23zcn3xw6kthcafykdlsf/app.bsky.feed.post/3muomf273h22s,user_022,2026-09-04 09:06:38.148000+00:00,8,0,"Oh no! It’s a mayday situation in America! The pumpkin spice latte, our national fall beverage, is falling out of favor."
at://did:plc:xbgr3lbhf3jnl75amtei2dpx/app.bsky.feed.post/3muot3rs63s2d,user_140,2026-09-04 11:06:43.536000+00:00,0,0,Pumpkin spice latte and a cigarette is healing to me
at://did:plc:repcnbkxvsz4jbzrqjonnqs2/app.bsky.feed.post/3muouf3jgdk2n,user_016,2026-09-04 11:29:49.467000+00:00,4,0,"Me: *wakes up, sits up in bed, wide eyed* it's Pumpkin Spice Latte season"
at://did:plc:3y5jre2sn6jmcprb5qeyyfex/app.bsky.feed.post/3muowrxrqy22d,user_014,2026-09-04 12:12:49.241000+00:00,6,0,PYRO IN A BIG CHUNKY SWEATER WITH A BIG SCARF AND A PUMPKIN SPICE LATTE IN HAND AAAAAAARRRRRGGGGHHHHHHHHHHHHHHH
at://did:plc:6yhufppacp6edof6f5vmwn7h/app.bsky.feed.post/3muoxc7h2oc2v,user_136,2026-09-04 12:21:54.147000+00:00,4,0,Tfw you’re on the verge of a breakdown first thing in the morning but you just buy a pumpkin spice latte and listen to Kendrick Lamar and lock in (the coffee was kinda mid idk why some make it their personality)
at://did:plc:fbetjoycu3ik4kbtev5f6rco/app.bsky.feed.post/3muoykev2r22l,user_029,2026-09-04 12:44:22.024000+00:00,8,0,Woke up to flowers (thank you!!!!) & went to order Starbs & got so excited for my 1st Pumpkin Spice latte of the season as I somehow forgot those existed outside New England. 🌲
at://did:plc:uka2f76poiogaoy6lk72i27o/app.bsky.feed.post/3muoyo5rygc2b,user_019,2026-09-04 12:46:28.806000+00:00,0,0,the roast I wanna give you over pumpkin spice latte
at://did:plc:hwsryvmqq3gfkvismcprcjnz/app.bsky.feed.post/3muozdmvlws2t,user_105,2026-09-04 12:58:29.293000+00:00,19,3,"It's September. There's a chill in the air (sorta). I'm drinking an Iced Pumpkin Spice Latte. All I can think about is the Caterpuppy from HOUSE II: THE SECOND STORY. 

LOOK AT MY BEAUTIFUL BABY BOY"
at://did:plc:4uqzdijb5ndnhttyak2xk6hc/app.bsky.feed.post/3muozogyw3s2i,user_141,2026-09-04 13:04:32.211000+00:00,12,0,"pumpkin spice latte, but i want it FREEZING though 💜"
at://did:plc:xx22n46j2jglyas2iz7qfi4h/app.bsky.feed.post/3muozsm53c22p,user_054,2026-09-04 13:06:51.808000+00:00,1,0,A pumpkin spice latte for me please- thank you!
at://did:plc:rd6p6hqk7aubywbiowd45unp/app.bsky.feed.post/3mup2cymoic2u,user_143,2026-09-04 13:16:01.768000+00:00,0,0,"Good morning, traffic fam! We're seeing some morning drizzle in a few places, so watch for slick spots and give yourself enough following distance. Looks like a nice morning for a good latte, before pumpkin spice takes over everything.🎃"
at://did:plc:j3ya4kgw5u764z2bxtfiyvd6/app.bsky.feed.post/3mup4r7tz4s25,user_100,2026-09-04 13:59:46.599000+00:00,1,0,"Who says they're hipsters? Lots of us like a coffee when we're out and about. Nowadays even Greggs do 12 different hot drinks! Their latest- Regular Pumpkin Spice Latte with Salted Caramel Drizzle
www.greggs.com/menu?categor..."
at://did:plc:cqqcfmzheeqfwfzi23blt5vl/app.bsky.feed.post/3mup4zmcgok2y,user_111,2026-09-04 14:04:28.075000+00:00,16,2,First pumpkin spice latte of the season at Penllergare Valley Woods. Happy Halloween! 🎃🍂
at://did:plc:uknrnschzyg2ngphjmkvq3lc/app.bsky.feed.post/3mup5k6h4sc2s,user_153,2026-09-04 14:13:43.984000+00:00,2,0,Currently eating pumpkin spice Cheerios with pumpkin caramel coffee and a pumpkin spice latte candle burning
at://did:plc:psiam3q7zjd4hdfn44ao644r/app.bsky.feed.post/3mup6dyn2hs2z,user_066,2026-09-04 14:28:10.304000+00:00,7,2,Start off the fall with a brunch! Pumpkin spice latte with a sausage biscuit and a slice of pound cake.
at://did:plc:h4h6n23odemgxyjqg7lwih6k/app.bsky.feed.post/3mupa427en22w,user_152,2026-09-04 14:59:31.005000+00:00,1,0,"Yes! Thank you for sharing this! I’m not completely against spice, but I prefer mine in pumpkin pie and latte form rather than book"
at://did:plc:btgwoh5fon42gag4lzvvgrzv/app.bsky.feed.post/3mupajxzk7k26,user_025,2026-09-04 15:07:18.478000+00:00,1,0,"[ #ooc ]
save me pumpkin spice latte"
at://did:plc:qbuh3d2srebff4d3mfkng6gw/app.bsky.feed.post/3mupax4rwks2p,user_011,2026-09-04 15:14:39.678000+00:00,4,0,I need a pumpkin spice iced latte STAT
at://did:plc:vnk6hkr2ne5ks3wki4abzn43/app.bsky.feed.post/3mupfsp356227,user_104,2026-09-04 16:41:39.787000+00:00,2,0,"Coworkers saved the day by baiting me with a trip to get my first pumpkin spice latte of the season, tea, and the Halloween issue of Rue Morgue🙌🏻"
at://did:plc:emqefgvoc7imehv44bony4jb/app.bsky.feed.post/3mupfw23n5k2g,user_129,2026-09-04 16:43:32.004000+00:00,0,0,ngl don’t think i’m pumpkin spice girl because i’m not feeling this latte….
at://did:plc:jctiuy2sovbonb7qftrxh6qr/app.bsky.feed.post/3mupgh2b5l227,user_089,2026-09-04 16:53:02.613000+00:00,0,0,"Did you mean Pumpkin Spice Latte; Sweater Weather and Black Friday Month season?

No. I thought not."
at://did:plc:gksqcdeguaoplw4ngzpn3ire/app.bsky.feed.post/3muppvk6fyk2y,user_131,2026-09-04 19:42:12.731000+00:00,6,0,Charmed by the guy in Starbucks who sold me my pumpkin spice latte actually being dressed as a pumpkin. I hope he has a really good week.
at://did:plc:gveabwl4l62dgsda2cdaryry/app.bsky.feed.post/3mupt36fldk2n,user_128,2026-09-04 20:39:02.943000+00:00,2,0,Does anyone else remember when Double Scorpio did a batch of Pumpkin Spice Latte ones?
at://did:plc:yxrbw25v2csdbl7msrhbyvuc/app.bsky.feed.post/3muq2hz5d6c2i,user_127,2026-09-04 22:51:29.826000+00:00,2,0,Pictured: black espresso i made to wash my mouth out after drinking a pumpkin spice latte with zero sugar syrup
at://did:plc:c3ceuiheixuczbjdd4ku6bww/app.bsky.feed.post/3muq64nwzsc24,user_067,2026-09-04 23:56:43.958000+00:00,1,0,Which seasonal drink do you prefer: pumpkin spice latte or apple cider?
at://did:plc:zzbbnorja4ft7axd6vtwxbdk/app.bsky.feed.post/3murcdonzhc2d,user_074,2026-09-05 10:44:54.295000+00:00,1,0,I drank a pumpkin spice latte for the first time
at://did:plc:gi5gurst3htbfiarbfpuls2i/app.bsky.feed.post/3murigqy3dk2x,user_023,2026-09-05 12:33:59.837000+00:00,1,0,Happy pumpkin spice latte season to all those who celebrate!
at://did:plc:2azwjoq74hjp77osm3rkhjfu/app.bsky.feed.post/3muroff3qw226,user_097,2026-09-05 14:20:36.263000+00:00,7,0,PSL with cheesecake cold foam 🧙‍♀️
at://did:plc:zbzdrtmiwn4tb6rh6hatqgt3/app.bsky.feed.post/3murorqt2is2d,user_050,2026-09-05 14:27:31.223000+00:00,23,0,I want my pumpkin spice latte today
at://did:plc:4ikvi2oh5sy2cocyukv2g4v5/app.bsky.feed.post/3murrebxcz22n,user_073,2026-09-05 15:13:40.650000+00:00,0,0,"I haven’t seen too many basic biatches celebrating pumpkin spice season starting, but maybe it’s been too hot. 
While not everything should be pumpkin spice (looking at you skyr), I do love my homemade pumpkin spice latte. Much better than the popular big box beverage."
at://did:plc:wm64pf4mypshxfl6w4vwxakw/app.bsky.feed.post/3murrjwabhc2k,user_061,2026-09-05 15:16:49.689000+00:00,9,1,"Why stop at pumpkin spice?
I want a haunted candy corn latte with real bones on top."
at://did:plc:jebe33tgngjuov5i6h5vhcpw/app.bsky.feed.post/3mursq3tifk2d,user_122,2026-09-05 15:38:10.618000+00:00,0,0,"Aw pumpkin, tis the season.

FINALLY!

This is my first cup of a pumpkin drink this year. No, it's not pumpkin spice. Rather, it's a Pumpkin Pie Sauce (aka syrup) thing Costello's Cafe makes in house. It's delicious!

#pumpkinspice #fall #autumn"
at://did:plc:ir5wi7szideu2ji6an5ka4vs/app.bsky.feed.post/3murt5fv6ps6y,user_142,2026-09-05 15:45:37.379000+00:00,1,0,"1, I used to think there was pumpkin on it until I ordered a pumpkin spice latte"
at://did:plc:4etumil4pk4lnudezbn5nms2/app.bsky.feed.post/3murudio3zc2i,user_051,2026-09-05 16:06:55.354000+00:00,8,0,"I finally had the ultimate white girl drink

Pumpkin Spice Latte from Starbucks

And uhm idk it's a drink lmeow, honestly I think it's nyot sugary enough for me lmeow"
at://did:plc:sxjlp66lg7s3mepva5asrmlz/app.bsky.feed.post/3murw5kkvbk27,user_021,2026-09-05 16:39:23.506000+00:00,0,0,"Wednesday, September 2, 2026 . . . listen, Pumpkin Spice Latte, don’t even think about it . . . ❤️❤️❤️ you . . . ❤️❤️❤️ to all!!! 💕💕💕 . . . #ohcarrie #ownit #iamaluckygirl #loveeachday #livingeachday #lipsticklesbian #LivingMyBestGirlLife #pride #lgbtq+ #girlslikeus #mylifeinfiveinchheels 🌈 🏳️‍⚧"
at://did:plc:gzqqqmajovjeuvdg6jvpke6y/app.bsky.feed.post/3murw6rrvgk2o,user_148,2026-09-05 16:40:04.634000+00:00,0,0,GUYS THE PECAN CRUNCH LATTE IS BACK. this is my pumpkin spice latte lol.
at://did:plc:f4pgk5dylatrdicodqpdq5yg/app.bsky.feed.post/3murwq5u3ik2x,user_059,2026-09-05 16:49:47.715000+00:00,0,0,Did Starbucks just make Deceptacon by Le Tigre the anthem of Pumpkin Spice Latte?
at://did:plc:anuwjovovrk3anljo3grrirp/app.bsky.feed.post/3murxkdxaf22a,user_086,2026-09-05 17:04:26.465000+00:00,1,0," The concrete mixer *finally* left 2 hours later, but I'm too awake now to attempt falling asleep again. ::sigh::

I'll either need a nap later or crash early tonight, but since sleep's not happening, I'm going to embrace the caffeine & make my first PSL of the season! Let's do this!"
at://did:plc:pcrm5phwsn4howi6iczij66j/app.bsky.feed.post/3murxroxjsc2t,user_121,2026-09-05 17:08:32.950000+00:00,1,0,If i see a pumpkin spice latte with it in triple digits I'm going to cry
at://did:plc:pshpxkdwxb62hjv7xdvhn3se/app.bsky.feed.post/3mus344xxmc26,user_151,2026-09-05 18:08:04.406000+00:00,5,0,banana bread latte > pumpkin spice latte
at://did:plc:q5apqttegasr4achhrdzjw3i/app.bsky.feed.post/3mus4jjbvms2z,user_124,2026-09-05 18:33:27.266000+00:00,1,0,Getting my pumpkin spice latte *right now*!
at://did:plc:l7mguszujauete67323qcgje/app.bsky.feed.post/3mus54xqj522o,user_076,2026-09-05 18:44:19.964000+00:00,0,0,Working on plotting with a plot twist: a pumpkin spice latte instead of my usual black coffee.
at://did:plc:jqmbmugerh27m6jibhuf5z5y/app.bsky.feed.post/3mus6ud2je22x,user_088,2026-09-05 19:15:17.319000+00:00,0,0,Pumpkin spice latte 🎃 basic white girl fall here we goooo 🍂
at://did:plc:sjmoa2pllln3m7wwz4webtph/app.bsky.feed.post/3musdn25zqk2o,user_028,2026-09-05 20:40:41.827000+00:00,1,0,"I'll get the snacks ..I even got some pumpkin latte candles..

Lemme just get them~"
at://did:plc:3b2ef2lncx4nf3ywotk5hmsl/app.bsky.feed.post/3muse2af66s2b,user_145,2026-09-05 20:48:04.557000+00:00,0,0,Got a tim hortons pumpkin spice ice latte and its sucks. To better guys
at://did:plc:2sgcxxie2jh4a2ejcbsab3d3/app.bsky.feed.post/3museqlsrvc2b,user_012,2026-09-05 21:00:34.735000+00:00,1,0,I got a pumpkin spice iced latte so I’ll double that 😂
at://did:plc:kgargksr4i2ehgvu2sp7tt2m/app.bsky.feed.post/3musf644ud22t,user_120,2026-09-05 21:08:08.051000+00:00,2,2,"Spooky season is upon us pumpkin spice chai latte Halloween decorations Mike Myers

Oh but wait some people are living on the street TRYING TO GET ONE BASIC MEAL and maybe a van so as not to sleep outside anymore 

Each of you please give him 5 USD 

$joeynova24
@joeynova42

🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃"
at://did:plc:cogf37yyctibcpmw2zeyrmev/app.bsky.feed.post/3muspnkkvqs2l,user_062,2026-09-06 00:15:43.924000+00:00,5,0,"For some people, fall is pumpkin spice latte season. For me it’s chaider season"
at://did:plc:gw4ku4nituwjp3jndeyn7cpz/app.bsky.feed.post/3musqobzy422q,user_130,2026-09-06 00:34:02.280000+00:00,8,1,"The only reason anyone should give someone grief about enjoying a pumpkin spice latte is if it’s from Starbucks.

Beyond that, shut your joy-vacuum of a mouth and let people enjoy their seasonal treats. 

(I personally prefer a good cider, but I stand in solidarity with my pumpkin spice pals.)"
at://did:plc:2x2ij7t5x7lh3bxn3pctfzen/app.bsky.feed.post/3musvxrecjk2i,user_032,2026-09-06 02:08:49.047000+00:00,3,0,making a pumpkin spice latte in one of these babies and slopping it all over myself trying to drink it
at://did:plc:pasdf3txcs6gr7jwg7s36c43/app.bsky.feed.post/3mutvyyex722m,user_099,2026-09-06 11:42:09.698000+00:00,6,0,A paper cup that used to contain pumpkin spice latte
at://did:plc:ijhdmoalosscngqjdtmgx2rr/app.bsky.feed.post/3muu3lmyzek2d,user_043,2026-09-06 13:22:04.019000+00:00,2,0,me after ordering one (1) pumpkin spice latte
at://did:plc:z6fbzkz6ls2osofdte5rt35y/app.bsky.feed.post/3muu5culw2s2k,user_154,2026-09-06 13:52:57.457000+00:00,1,0,"*Pumpkin spice latte, Viking style (for any day when more caffeine is definitely needed)"
at://did:plc:eeru2pizsxoz7eor22dsiuqj/app.bsky.feed.post/3muu7t7iwhk2g,user_119,2026-09-06 14:37:53.261000+00:00,1,0,Woke up to rain this morning and I automatically thought of you!! I made myself an iced protein pumpkin spice latte in your honor!
at://did:plc:otomysmc3zjn2sxcadmra5cu/app.bsky.feed.post/3muuchmrny224,user_133,2026-09-06 15:25:05.753000+00:00,0,0,"i had my first pumpkin spice latte of the season yesterday, it was yumny i luv PSL"
at://did:plc:s6vtjpveitttnuuprsjo2ij3/app.bsky.feed.post/3muueyagii22p,user_010,2026-09-06 16:10:10.713000+00:00,4,0,"It was quite chilly yesterday our high was 10 degrees, today 15. Another day we can enjoy a nice hot chocolate or pumpkin spice latte. 🍂"
at://did:plc:5zxcawdegy3kdpphixua5rwr/app.bsky.feed.post/3muufki3ofk2g,user_070,2026-09-06 16:20:22.719000+00:00,0,0,Starbucks should’ve done more about climate change because no amount of advertising for the pumpkin spice latte can tempt me when it’s 90 degrees out.
at://did:plc:k3sbqglofviqrxja2kwzcjj3/app.bsky.feed.post/3muugjhygis2j,user_057,2026-09-06 16:37:42.806000+00:00,1,0,Wow got promoted! I think I shall in solidarity have a pumpkin spice latte.
at://did:plc:o2e2gcpajxgixratktfvifqv/app.bsky.feed.post/3muukubrxuk26,user_106,2026-09-06 17:55:20.369000+00:00,2,0,"No joking matter, I’m sweating too fr, but I def read pslf as “pumpkin spice latte funds”"
at://did:plc:zgoxhx66tad7khpz3zopqzhk/app.bsky.feed.post/3muuofguhbc2h,user_039,2026-09-06 18:58:37.345000+00:00,1,0,I wanted a pumpkin spice latte….
at://did:plc:zwmuak6jaisgognrocg5uqye/app.bsky.feed.post/3muupwxjvg22i,user_107,2026-09-06 19:26:18.993000+00:00,1,0,"Another colouring I did on ZenColor app

COLOURING PAGE TITLE: Pumpkin Spice Latte"
at://did:plc:hjjxqlbu23gd5wyiqbb5gyhz/app.bsky.feed.post/3muupxczrus2l,user_117,2026-09-06 19:26:31.046000+00:00,0,0,"112/365 - First Pumpkin Spice Latte of the year. - sambrentnallphoto.co.uk/project-365/...

#project365 #photographt #lovefuji #photographtheday"
at://did:plc:eenyvds6h3jdjdm2ypeyedyy/app.bsky.feed.post/3muusskud5k2q,user_109,2026-09-06 20:17:32.705000+00:00,24,8,"(Plurality art)
Io with his pumpkin spice latte"
at://did:plc:3awc6f2orurtpccg3l2ayr4v/app.bsky.feed.post/3muuv4giwak2x,user_084,2026-09-06 20:58:51.169000+00:00,0,0,"A question for non-baristas:

Have you ever been bothered by the smell of someone else’s pumpkin spice latte?"
at://did:plc:yh6uvrchittpdwpb4wsb23na/app.bsky.feed.post/3muuw2l5vuc24,user_139,2026-09-06 21:15:42.683000+00:00,19,2,"Drinking pumpkin spice lattes? Not for me.🙅🏻‍♀️🙂‍↔️

Looking like a pumpkin spice latte… 😛🙂‍↕️"
at://did:plc:d2dfbmgvys2zwbte4lerdb57/app.bsky.feed.post/3muuxplcy322m,user_053,2026-09-06 21:45:21.237000+00:00,3,0,"Why even bother with pumpkin spice anyways, could just get a nice chai latte instead, is my thoughts (i am biased because im a chai latte enjoyer)"
at://did:plc:vbothjduhtuczklv5vu3ykhp/app.bsky.feed.post/3muuzhqqepk2m,user_038,2026-09-06 22:16:45.965000+00:00,2,0,"That's definitely fine! They're woman founded and have a ton of fun flavors but I really like their Horchata, Espresso martini, and Hazelnut Latte the best! Then they do a pumpkin spice one for Halloween sometimes that's good!"
at://did:plc:mq3s5rrssj33xzb63rwum65o/app.bsky.feed.post/3muv2ul4x322z,user_055,2026-09-06 22:41:50.037000+00:00,1,0,I am interested I wanna try a pumpkin spice latte so bad LOL there's just nowhere close that has it near me
at://did:plc:h4ufhz6sbb6wclqsacpwese3/app.bsky.feed.post/3muvoht4nt22s,user_093,2026-09-07 04:32:37.044000+00:00,0,0,Bruh I ain't never had a pumpkin spice latte that has ever tasted good in my life
at://did:plc:kq3vel7n7w2ryj4ouiu7pqb3/app.bsky.feed.post/3muvsrb34qs22,user_147,2026-09-07 05:49:28.632000+00:00,0,0,minha vida vai entrar no eixo porque o pumpkin spice latte voltou
at://did:plc:l2uyarq7slxtcvkkpac7sh7g/app.bsky.feed.post/3muvvn2peik2f,user_132,2026-09-07 06:40:48.959000+00:00,3,2,I see Greggs have responded to the new climate normal in London by introducing the ICED pumpkin spice latte 🙄
